session,task_environment,row_count,epoch_count,epoch_duration_sec_mean,epoch_duration_sec_std,epoch_duration_sec_q50,mean_speed_mean,mean_speed_std,mean_speed_q50,std_speed_mean,std_speed_std,std_speed_q50,max_speed_mean,max_speed_std,max_speed_q50,mean_accel_mean,mean_accel_std,mean_accel_q50,std_accel_mean,std_accel_std,std_accel_q50,mean_abs_accel_mean,mean_abs_accel_std,mean_abs_accel_q50,max_abs_accel_mean,max_abs_accel_std,max_abs_accel_q50,speed_q25_mean,speed_q25_std,speed_q25_q50,speed_q50_mean,speed_q50_std,speed_q50_q50,speed_q75_mean,speed_q75_std,speed_q75_q50,moving_fraction_mean,moving_fraction_std,moving_fraction_q50,fast_fraction_mean,fast_fraction_std,fast_fraction_q50,path_length_mean,path_length_std,path_length_q50,step_length_mean_mean,step_length_mean_std,step_length_mean_q50,step_length_max_mean,step_length_max_std,step_length_max_q50,x_range_mean,x_range_std,x_range_q50,y_range_mean,y_range_std,y_range_q50,rawpos_rows_mean,rawpos_rows_std,rawpos_rows_q50,spike_tetrode_count_mean,spike_tetrode_count_std,spike_tetrode_count_q50,spike_cell_count_mean,spike_cell_count_std,spike_cell_count_q50,spike_event_rows_epoch_mean,spike_event_rows_epoch_std,spike_event_rows_epoch_q50,num_spikes_mean,num_spikes_std,num_spikes_q50,firing_rate_hz_mean,firing_rate_hz_std,firing_rate_hz_q50,log_firing_rate_hz_mean,log_firing_rate_hz_std,log_firing_rate_hz_q50
2,TrackA,11,1,926.9843000000001,0.0,926.9843000000001,8.026002609513375,1.7763568394002505e-15,8.026002609513377,10.347409597046866,1.7763568394002505e-15,10.347409597046868,51.40059342375908,7.105427357601002e-15,51.40059342375907,-0.005724605779714662,8.673617379884035e-19,-0.005724605779714663,16.384919783654603,3.552713678800501e-15,16.384919783654606,10.616987231639815,1.7763568394002505e-15,10.616987231639817,80.52369163764665,1.4210854715202004e-14,80.52369163764666,0.7215161945291474,1.1102230246251565e-16,0.7215161945291473,2.833546849419811,0.0,2.833546849419811,11.945193023738168,1.7763568394002505e-15,11.945193023738167,0.9996400547116836,2.220446049250313e-16,0.9996400547116838,0.4229717083003384,5.551115123125783e-17,0.42297170830033837,13473.50047777858,0.0,13473.50047777858,0.48498975838805597,1.1102230246251565e-16,0.48498975838805586,3.8710463701691866,0.0,3.8710463701691866,99.45000000000003,1.4210854715202004e-14,99.45000000000002,100.35000000000001,0.0,100.35000000000001,27782.0,0.0,27782.0,7.0,0.0,7.0,11.0,0.0,11.0,35410.0,0.0,35410.0,3219.090909090909,7738.365736023518,23.0,3.472648791453004,8.347892985915207,0.024811639204676928,0.6546340284733765,1.0557693458669883,0.024508829073632048
2,TrackB,26,2,928.9088692307697,0.9984328823668965,927.9845,8.787008785377877,0.09677017196052105,8.876600555637367,8.96222368390306,0.18609747441918284,8.789930901568875,45.370083421669,0.7805912138040763,44.64739638622333,-0.0027711783598094518,0.016528342296755472,-0.018073449874066488,18.292270330804232,0.09989125839285397,18.199788995992552,13.089862581962969,0.05129413227307284,13.137351720621766,73.02495808456791,3.427833901392928,69.85140055997657,1.7219787108351536,0.2132858141831279,1.9194430046022464,5.920464652915997,0.35396594406152115,6.248173438563121,12.655032718209386,0.024957777346662456,12.678139130122574,1.0,0.0,1.0,0.5499947050721808,0.02066022091019179,0.5691223528565779,15959.667295011457,518.2847192768949,16439.505705522977,0.5732909076264814,0.019229513375540276,0.5910939776184013,3.451237599588144,0.19094248136286973,3.6280159867343333,103.05000000000003,3.273957735480214e-14,103.04999999999998,103.81153846153848,1.7946666549437267,102.14999999999999,27840.69230769231,29.911110915728592,27813.0,7.0,0.0,7.0,13.076923076923077,0.9970370305242863,14.0,34043.38461538462,523.4444410252501,34528.0,2615.6153846153848,7696.705539369642,128.5,2.815609964081373,8.284733132028123,0.13817392990205352,0.5150180603760861,0.9334416577919561,0.1294196954022499
3,TrackA,18,1,914.9727000000003,0.0,914.9727000000003,6.899940729588095,0.0,6.899940729588095,10.712099706439808,3.552713678800501e-15,10.712099706439812,52.36607060981217,2.1316282072803006e-14,52.36607060981219,-0.02006143670388261,3.469446951953614e-18,-0.020061436703882614,14.952500367585863,1.7763568394002505e-15,14.952500367585865,8.678012065196949,1.7763568394002505e-15,8.678012065196947,74.72095550783052,1.4210854715202004e-14,74.72095550783054,0.4809156185671822,5.551115123125783e-17,0.48091561856718223,1.1918277765246639,4.440892098500626e-16,1.1918277765246634,8.965685706994151,0.0,8.965685706994151,0.9920504685847646,0.0,0.9920504685847646,0.32038799547824826,5.551115123125783e-17,0.3203879954782482,10806.150977827949,5.4569682106375694e-12,10806.150977827943,0.3940686666847037,5.551115123125783e-17,0.39406866668470364,4.2452915094254795,8.881784197001252e-16,4.245291509425479,96.75000000000001,0.0,96.75000000000001,97.20000000000002,2.842170943040401e-14,97.19999999999999,27423.0,0.0,27423.0,7.0,0.0,7.0,18.0,0.0,18.0,5077.0,0.0,5077.0,282.05555555555554,498.32547064278987,41.5,0.30826663522917735,0.5446342504457125,0.04535654451766702,0.2086769568645824,0.3165807649286379,0.04415015172787304
3,TrackB,33,2,947.3657939393939,19.97747128539429,927.9847999999997,7.516312272830297,0.9926506303303229,8.479324837109804,9.994016132342903,0.39069003467134367,10.373041139360826,50.72304055788844,0.3620825868823506,51.07431226398562,-0.016006857174735736,0.0023440016995398437,-0.01373284150559924,15.664872506629822,1.4142363548076156,17.036883299679296,9.948872563065517,1.2082700572005585,11.121066697208814,74.02997036282841,1.4535680471127395,75.44013850218572,0.7308792603866044,0.16143792199200876,0.8874970496461996,2.837458606098357,1.0452815039623264,3.851530617708044,10.323695282476546,2.2470581479732963,12.503661892123294,1.0,0.0,1.0,0.39086005188945555,0.06066913467323735,0.44971775788300433,13071.375389364992,1198.0587141170586,14233.663065599425,0.46146921849296363,0.05186056402107683,0.5117813557313183,3.333287905358168,0.09100906044970862,3.2449961479176106,95.72727272727273,3.37345005732354,99.0,102.8863636363637,2.0240700343941227,104.85,28393.848484848484,598.7249138775704,27813.0,7.0,0.0,7.0,16.515151515151516,0.4997703788627466,17.0,5504.393939393939,1586.770952889221,3965.0,336.5151515151515,487.00582544036973,74.0,0.3530015647996807,0.5090433799937681,0.0797426854405374,0.24410179452083702,0.3240975795633647,0.07672275852735763
4,TrackA,42,1,922.9470000000001,0.0,922.9470000000001,7.1606481220050755,8.881784197001252e-16,7.160648122005075,11.26069759183713,1.7763568394002505e-15,11.260697591837133,52.90006295228709,2.842170943040401e-14,52.900062952287115,-0.0009874903078379777,4.336808689942018e-19,-0.0009874903078379773,15.224433797232098,8.881784197001252e-15,15.22443379723209,8.744332651285257,1.7763568394002505e-15,8.744332651285255,306.3029650300777,0.0,306.3029650300777,0.46998356976409417,5.551115123125783e-17,0.4699835697640942,1.1369359671657833,0.0,1.1369359671657833,8.912032902522085,5.329070518200751e-15,8.91203290252209,1.0,0.0,1.0,0.31191698604382095,0.0,0.31191698604382095,11441.925907785133,1.8189894035458565e-12,11441.925907785135,0.41370813565408876,5.551115123125783e-17,0.4137081356540888,3.5146123541580003,3.552713678800501e-15,3.5146123541579968,93.59999999999994,8.526512829121202e-14,93.60000000000002,99.44999999999993,7.105427357601002e-14,99.45,27658.0,0.0,27658.0,13.0,0.0,13.0,42.0,0.0,42.0,31303.0,0.0,31303.0,745.3095238095239,2893.8725618442522,83.5,0.8075323109664193,3.135469926056698,0.09047106713603272,0.2994733836212302,0.5214736258434578,0.08659977876630043
4,TrackB,85,2,921.0840435294118,3.001278943088024,923.9812000000002,8.834672030964946,0.7806555882339433,8.081099493509992,12.114969317549376,0.12726219303802916,11.99212219370221,52.78234674090632,0.33795261446715585,53.108574866422934,-0.01345056985772869,0.0032365490418216534,-0.010326305443557879,16.66381905837845,0.7910278629505313,15.900234088430679,10.029136071826567,1.0725964614042816,8.993750878576135,283.77343061073987,191.16612415285044,468.30748560826714,0.6249049801251251,0.17080419757907575,0.4600264414742927,2.151178673206923,0.8877812757607675,1.2941969276544356,13.718568257977877,1.5224458952871596,12.248940122675803,1.0,0.0,1.0,0.3809338131757115,0.04737833333767267,0.3351991621826586,12872.868118755503,998.1616203081579,11909.335420927237,0.4664596773499885,0.03767142491541283,0.4300951759092538,3.820512221411819,0.3168937679420153,3.5146123541579968,100.10117647058821,0.6745794537683184,99.45000000000002,98.25352941176476,2.023738361304957,96.30000000000001,27605.141176470588,88.94455020056385,27691.0,13.0,0.0,13.0,42.55294117647059,1.4990654528184908,44.0,37074.35294117647,159.9003149673058,36920.0,872.4705882352941,3082.3605148088363,127.0,0.9473538934956495,3.3472703367246797,0.13744868402084368,0.3626733479608767,0.5488126121354797,0.1287877578766399
5,TrackA,40,1,915.9737000000014,9.094947017729282e-13,915.9737000000005,6.4971073987394945,3.552713678800501e-15,6.497107398739491,10.580716126108596,3.552713678800501e-15,10.580716126108593,53.55723811169496,3.552713678800501e-14,53.55723811169499,-0.011106667752008121,6.938893903907228e-18,-0.011106667752008114,14.809647152653493,7.105427357601002e-15,14.809647152653486,8.342711520420858,5.329070518200751e-15,8.342711520420863,77.03614635806801,7.105427357601002e-14,77.03614635806808,0.41020371718767024,0.0,0.41020371718767024,1.2039873156837526,2.220446049250313e-16,1.2039873156837524,7.532357796693079,5.329070518200751e-15,7.532357796693084,0.9994171857356209,0.0,0.9994171857356209,0.2975631078570645,2.7755575615628914e-16,0.2975631078570648,10580.038997167143,7.275957614183426e-12,10580.03899716715,0.38540139141655066,5.551115123125783e-17,0.3854013914165507,3.5146123541580003,3.552713678800501e-15,3.5146123541579968,97.65000000000006,5.684341886080802e-14,97.65,99.00000000000001,0.0,99.00000000000001,27453.0,0.0,27453.0,13.0,0.0,13.0,40.0,0.0,40.0,51321.0,0.0,51321.0,1283.025,4039.2257951710253,69.0,1.4007225316622074,4.409761759721948,0.0753296737668341,0.4071035338301763,0.707337933270154,0.07259430294689143
5,TrackB,86,2,926.1360581395339,4.493872956475926,921.9455000000003,9.60671967080445,0.05892737758043764,9.551769607873684,12.662874978950292,0.020307385333045606,12.64393824448446,54.727388534331766,0.48304328404473756,55.17782871929162,-0.016601670646235234,0.010855795012053283,-0.026724751692246168,17.358980397180552,0.06543675314687886,17.420000484125662,10.841415675698693,0.212561698895395,11.039630481966368,243.74831546118776,178.38905198384964,77.39966674881666,0.6913610448511655,0.06242175838707286,0.7495696346859275,2.6068913842100967,0.1640296806730643,2.7598498501318542,15.367000428134311,0.9696457520678622,14.462801102041237,1.0,0.0,1.0,0.4109218695090675,0.002965303768383278,0.4136870295309786,13892.962842031782,198.32713772970155,14077.903851569283,0.5005913690206981,0.009549924270626111,0.5094967193213884,5.008257817266397,1.2195234137646904,3.8710463701691866,101.88837209302328,2.69342086473133,104.4,103.82441860465119,1.79561390982088,102.15,27756.6511627907,133.6734799533325,27632.0,13.0,0.0,13.0,43.2093023255814,2.9926898497014727,46.0,55700.37209302326,2046.5010755541887,53792.0,1298.6860465116279,4214.898540150022,42.5,1.4015697245324472,4.549005084227649,0.045872478307852266,0.393774554238423,0.7111908347574116,0.04485139871760216
6,TrackA,53,1,913.9717999999995,7.958078640513122e-13,913.9718000000003,9.381002820288145,1.4210854715202004e-14,9.38100282028816,12.840782993467325,1.0658141036401503e-14,12.840782993467336,54.98969982546264,4.973799150320701e-14,54.98969982546269,-0.014979402604131858,8.673617379884035e-18,-0.01497940260413185,17.81899012617088,1.4210854715202004e-14,17.818990126170867,10.642534027435987,1.4210854715202004e-14,10.642534027435973,340.59064878467814,2.8421709430404007e-13,340.59064878467785,0.5616241997591381,2.220446049250313e-16,0.5616241997591384,2.1038028598141514,2.6645352591003757e-15,2.1038028598141487,15.006015641880927,8.881784197001252e-15,15.006015641880918,1.0,0.0,1.0,0.3941949616648409,2.7755575615628914e-16,0.3941949616648412,13812.37383222162,1.2732925824820995e-11,13812.373832221632,0.5043036924393604,3.3306690738754696e-16,0.50430369243936,3.818376618407363,2.220446049250313e-15,3.8183766184073606,96.75,0.0,96.75,104.39999999999996,4.263256414560601e-14,104.4,27390.0,0.0,27390.0,15.0,0.0,15.0,53.0,0.0,53.0,140195.0,0.0,140195.0,2645.188679245283,8085.149753123802,199.0,2.8941688126978113,8.846169819598154,0.2177310065802905,0.5500487606391881,0.9149720782716272,0.19698929644084626
6,TrackB,110,2,924.0902218181806,1.9994190042193203,925.9834000000001,9.729585321514262,0.23378872547572496,9.508219157997875,13.272168183027249,0.0349802430367713,13.239046644834318,55.34093776167178,0.7513589903750064,54.62950286769054,-0.024186639000332855,0.0011086637029415422,-0.025236392918322775,17.412714864358055,0.9618808223322176,16.501944394283523,10.550059760140734,0.7555890614074301,9.83461956353443,144.19185941308382,62.44474549358935,203.31855046092468,0.618402245898247,0.0574360636877278,0.5640180961059007,1.9256421135259605,0.2514732315116278,1.6875311251816072,16.403145042687132,0.22859753004171374,16.18669423603818,1.0,0.0,1.0,0.38725968317503734,0.01582572341643068,0.37227487297755035,13875.175930552738,483.6706975290945,13417.20548523112,0.5010528828600187,0.01853484730273956,0.483502900368689,3.8308684682550616,0.013192863843059392,3.8183766184073504,100.93909090909106,1.57265527948727,99.44999999999999,102.50181818181801,1.7973203194140221,100.8,27695.21818181818,58.912166025237276,27751.0,15.0,0.0,15.0,55.163636363636364,2.995533865690032,58.0,146065.07272727272,3641.5706693905195,142617.0,2659.3454545454547,8697.257198195894,195.5,2.878307720925448,9.414453538234847,0.211593640142831,0.5303031829291627,0.8993836196561795,0.19193040882958518
